Round,Agent,Bid,Winning_Bid
1,Agent 1,89.0,False
1,Agent 2,88.0,False
1,Agent 3,87.0,False
1,Agent 4,86.0,False
1,Agent 5,85.0,True
2,Agent 1,84.5,False
2,Agent 2,83.5,False
2,Agent 3,82.5,False
2,Agent 4,81.5,False
2,Agent 5,80.5,True
3,Agent 1,80.22500000000001,False
3,Agent 2,79.22500000000001,False
3,Agent 3,78.22500000000001,False
3,Agent 4,77.22500000000001,False
3,Agent 5,76.22500000000001,True
4,Agent 1,76.166,False
4,Agent 2,75.166,False
4,Agent 3,74.166,False
4,Agent 4,73.166,False
4,Agent 5,72.166,True
5,Agent 1,72.305,False
5,Agent 2,71.305,False
5,Agent 3,70.305,False
5,Agent 4,69.305,False
5,Agent 5,68.305,True
6,Agent 1,68.642,False
6,Agent 2,67.642,False
6,Agent 3,66.642,False
6,Agent 4,65.642,False
6,Agent 5,64.642,True
7,Agent 1,65.159,False
7,Agent 2,64.159,False
7,Agent 3,63.159000000000006,False
7,Agent 4,62.159000000000006,False
7,Agent 5,61.159000000000006,True
8,Agent 1,61.847,False
8,Agent 2,60.847,False
8,Agent 3,59.847,False
8,Agent 4,58.847,False
8,Agent 5,57.847,True
9,Agent 1,58.706,False
9,Agent 2,57.706,False
9,Agent 3,56.706,False
9,Agent 4,55.706,False
9,Agent 5,54.706,True
10,Agent 1,55.718,False
10,Agent 2,54.718,False
10,Agent 3,53.718,False
10,Agent 4,52.718,False
10,Agent 5,51.718,True
1,Agent 1,89.0,False
1,Agent 2,88.0,False
1,Agent 3,87.0,False
1,Agent 4,86.0,False
1,Agent 5,85.0,True
2,Agent 1,84.5,False
2,Agent 2,83.5,False
2,Agent 3,82.5,False
2,Agent 4,81.5,False
2,Agent 5,80.5,True
3,Agent 1,80.22500000000001,False
3,Agent 2,79.22500000000001,False
3,Agent 3,78.22500000000001,False
3,Agent 4,77.22500000000001,False
3,Agent 5,76.22500000000001,True
4,Agent 1,76.166,False
4,Agent 2,75.166,False
4,Agent 3,74.166,False
4,Agent 4,73.166,False
4,Agent 5,72.166,True
5,Agent 1,72.305,False
5,Agent 2,71.305,False
5,Agent 3,70.305,False
5,Agent 4,69.305,False
5,Agent 5,68.305,True
6,Agent 1,68.642,False
6,Agent 2,67.642,False
6,Agent 3,66.642,False
6,Agent 4,65.642,False
6,Agent 5,64.642,True
7,Agent 1,65.159,False
7,Agent 2,64.159,False
7,Agent 3,63.159000000000006,False
7,Agent 4,62.159000000000006,False
7,Agent 5,61.159000000000006,True
8,Agent 1,61.847,False
8,Agent 2,60.847,False
8,Agent 3,59.847,False
8,Agent 4,58.847,False
8,Agent 5,57.847,True
9,Agent 1,58.706,False
9,Agent 2,57.706,False
9,Agent 3,56.706,False
9,Agent 4,55.706,False
9,Agent 5,54.706,True
10,Agent 1,55.718,False
10,Agent 2,54.718,False
10,Agent 3,53.718,False
10,Agent 4,52.718,False
10,Agent 5,51.718,True
1,Agent 1,89.0,False
1,Agent 2,88.0,False
1,Agent 3,87.0,False
1,Agent 4,86.0,False
1,Agent 5,85.0,True
2,Agent 1,84.5,False
2,Agent 2,83.5,False
2,Agent 3,82.5,False
2,Agent 4,81.5,False
2,Agent 5,80.5,True
3,Agent 1,80.22500000000001,False
3,Agent 2,79.22500000000001,False
3,Agent 3,78.22500000000001,False
3,Agent 4,77.22500000000001,False
3,Agent 5,76.22500000000001,True
4,Agent 1,76.166,False
4,Agent 2,75.166,False
4,Agent 3,74.166,False
4,Agent 4,73.166,False
4,Agent 5,72.166,True
5,Agent 1,72.305,False
5,Agent 2,71.305,False
5,Agent 3,70.305,False
5,Agent 4,69.305,False
5,Agent 5,68.305,True
6,Agent 1,68.642,False
6,Agent 2,67.642,False
6,Agent 3,66.642,False
6,Agent 4,65.642,False
6,Agent 5,64.642,True
7,Agent 1,65.159,False
7,Agent 2,64.159,False
7,Agent 3,63.159000000000006,False
7,Agent 4,62.159000000000006,False
7,Agent 5,61.159000000000006,True
8,Agent 1,61.847,False
8,Agent 2,60.847,False
8,Agent 3,59.847,False
8,Agent 4,58.847,False
8,Agent 5,57.847,True
9,Agent 1,58.706,False
9,Agent 2,57.706,False
9,Agent 3,56.706,False
9,Agent 4,55.706,False
9,Agent 5,54.706,True
10,Agent 1,55.718,False
10,Agent 2,54.718,False
10,Agent 3,53.718,False
10,Agent 4,52.718,False
10,Agent 5,51.718,True
1,Agent 1,83.51593108651481,False
1,Agent 2,82.51593108651481,False
1,Agent 3,81.51593108651481,False
1,Agent 4,80.51593108651481,False
1,Agent 5,79.51593108651481,True
2,Agent 1,81.83049894218519,False
2,Agent 2,80.83049894218519,False
2,Agent 3,79.83049894218519,False
2,Agent 4,78.83049894218519,False
2,Agent 5,77.83049894218519,True
3,Agent 1,75.34168953621388,False
3,Agent 2,74.34168953621388,False
3,Agent 3,73.34168953621388,False
3,Agent 4,72.34168953621388,False
3,Agent 5,71.34168953621388,True
4,Agent 1,72.94531926777978,False
4,Agent 2,71.94531926777978,False
4,Agent 3,70.94531926777978,False
4,Agent 4,69.94531926777978,False
4,Agent 5,68.94531926777978,True
5,Agent 1,68.28305307536544,False
5,Agent 2,67.28305307536544,False
5,Agent 3,66.28305307536544,False
5,Agent 4,65.28305307536544,False
5,Agent 5,64.28305307536544,True
6,Agent 1,67.90274902447003,False
6,Agent 2,66.90274902447003,False
6,Agent 3,65.90274902447003,False
6,Agent 4,64.90274902447003,False
6,Agent 5,63.902749024470026,True
7,Agent 1,61.92848691092926,False
7,Agent 2,60.92848691092926,False
7,Agent 3,59.92848691092926,False
7,Agent 4,58.92848691092926,False
7,Agent 5,57.92848691092926,True
8,Agent 1,58.93361091481369,False
8,Agent 2,57.93361091481369,False
8,Agent 3,56.93361091481369,False
8,Agent 4,55.93361091481369,False
8,Agent 5,54.93361091481369,True
9,Agent 1,54.92250473735748,False
9,Agent 2,53.92250473735748,False
9,Agent 3,52.92250473735748,False
9,Agent 4,51.92250473735748,False
9,Agent 5,50.92250473735748,True
10,Agent 1,54.33491022179025,False
10,Agent 2,53.33491022179025,False
10,Agent 3,52.33491022179025,False
10,Agent 4,51.33491022179025,False
10,Agent 5,50.33491022179025,True
11,Agent 1,52.11618459414897,False
11,Agent 2,51.11618459414897,False
11,Agent 3,50.11618459414897,False
11,Agent 4,49.11618459414897,False
11,Agent 5,48.11618459414897,True
12,Agent 1,48.76131862518785,False
12,Agent 2,47.76131862518785,False
12,Agent 3,46.76131862518785,False
12,Agent 4,45.76131862518785,False
12,Agent 5,44.76131862518785,True
13,Agent 1,44.813275319193465,False
13,Agent 2,43.813275319193465,False
13,Agent 3,42.813275319193465,False
13,Agent 4,41.813275319193465,False
13,Agent 5,40.813275319193465,True
14,Agent 1,41.60006823515903,False
14,Agent 2,40.60006823515903,False
14,Agent 3,39.60006823515903,False
14,Agent 4,38.60006823515903,False
14,Agent 5,37.60006823515903,True
15,Agent 1,40.60308563813287,False
15,Agent 2,39.60308563813287,False
15,Agent 3,38.60308563813287,False
15,Agent 4,37.60308563813287,False
15,Agent 5,36.60308563813287,True
16,Agent 1,38.95789338327199,False
16,Agent 2,37.95789338327199,False
16,Agent 3,36.95789338327199,False
16,Agent 4,35.95789338327199,False
16,Agent 5,34.95789338327199,True
17,Agent 1,37.19278113533515,False
17,Agent 2,36.19278113533515,False
17,Agent 3,35.19278113533515,False
17,Agent 4,34.19278113533515,False
17,Agent 5,33.19278113533515,True
18,Agent 1,35.1521041769781,False
18,Agent 2,34.1521041769781,False
18,Agent 3,33.1521041769781,False
18,Agent 4,32.1521041769781,False
18,Agent 5,31.1521041769781,True
19,Agent 1,33.6718613212734,False
19,Agent 2,32.6718613212734,False
19,Agent 3,31.671861321273397,False
19,Agent 4,30.671861321273397,False
19,Agent 5,29.671861321273397,True
20,Agent 1,30.432853455086818,False
20,Agent 2,29.432853455086818,False
20,Agent 3,28.432853455086818,False
20,Agent 4,27.432853455086818,False
20,Agent 5,26.432853455086818,True
21,Agent 1,28.778372726368477,False
21,Agent 2,27.778372726368477,False
21,Agent 3,26.778372726368477,False
21,Agent 4,25.778372726368477,False
21,Agent 5,24.778372726368477,True
22,Agent 1,27.18588210904223,False
22,Agent 2,26.18588210904223,False
22,Agent 3,25.18588210904223,False
22,Agent 4,24.18588210904223,False
22,Agent 5,23.18588210904223,True
23,Agent 1,27.528802814665408,False
23,Agent 2,26.528802814665408,False
23,Agent 3,25.528802814665408,False
23,Agent 4,24.528802814665408,False
23,Agent 5,23.528802814665408,True
24,Agent 1,24.52425593140544,False
24,Agent 2,23.52425593140544,False
24,Agent 3,22.52425593140544,False
24,Agent 4,21.52425593140544,False
24,Agent 5,20.52425593140544,True
25,Agent 1,25.128793544830188,False
25,Agent 2,24.128793544830188,False
25,Agent 3,23.128793544830188,False
25,Agent 4,22.128793544830188,False
25,Agent 5,21.128793544830188,True
26,Agent 1,22.27465908428406,False
26,Agent 2,21.27465908428406,False
26,Agent 3,20.27465908428406,False
26,Agent 4,19.27465908428406,False
26,Agent 5,18.27465908428406,True
27,Agent 1,21.815243438327443,False
27,Agent 2,20.815243438327443,False
27,Agent 3,19.815243438327443,False
27,Agent 4,18.815243438327443,False
27,Agent 5,17.815243438327443,True
28,Agent 1,19.85931746273696,False
28,Agent 2,18.85931746273696,False
28,Agent 3,17.85931746273696,False
28,Agent 4,16.85931746273696,False
28,Agent 5,15.85931746273696,True
29,Agent 1,18.023809461851062,False
29,Agent 2,17.023809461851062,False
29,Agent 3,16.023809461851062,False
29,Agent 4,15.023809461851062,False
29,Agent 5,14.023809461851062,True
30,Agent 1,17.626058225109034,False
30,Agent 2,16.626058225109034,False
30,Agent 3,15.626058225109034,False
30,Agent 4,14.626058225109034,False
30,Agent 5,13.626058225109034,True
31,Agent 1,16.396361920374645,False
31,Agent 2,15.396361920374645,False
31,Agent 3,14.396361920374645,False
31,Agent 4,13.396361920374645,False
31,Agent 5,12.396361920374645,True
32,Agent 1,15.598729313086466,False
32,Agent 2,14.598729313086466,False
32,Agent 3,13.598729313086466,False
32,Agent 4,12.598729313086466,False
32,Agent 5,11.598729313086466,True
33,Agent 1,16.625228084988912,False
33,Agent 2,15.625228084988912,False
33,Agent 3,14.625228084988912,False
33,Agent 4,13.625228084988912,False
33,Agent 5,12.625228084988912,True
34,Agent 1,15.113025625966223,False
34,Agent 2,14.113025625966223,False
34,Agent 3,13.113025625966223,False
34,Agent 4,12.113025625966223,False
34,Agent 5,11.113025625966223,True
35,Agent 1,12.381444363462991,False
35,Agent 2,11.381444363462991,False
35,Agent 3,10.381444363462991,False
35,Agent 4,9.381444363462991,False
35,Agent 5,8.381444363462991,True
36,Agent 1,11.855317272888119,False
36,Agent 2,10.855317272888119,False
36,Agent 3,9.855317272888119,False
36,Agent 4,8.855317272888119,False
36,Agent 5,7.855317272888119,True
37,Agent 1,12.258694122752125,False
37,Agent 2,11.258694122752125,False
37,Agent 3,10.258694122752125,False
37,Agent 4,9.258694122752125,False
37,Agent 5,8.258694122752125,True
38,Agent 1,10.58612350685842,False
38,Agent 2,9.58612350685842,False
38,Agent 3,8.58612350685842,False
38,Agent 4,7.586123506858421,False
38,Agent 5,6.586123506858421,True
39,Agent 1,10.309972798171989,False
39,Agent 2,9.309972798171989,False
39,Agent 3,8.309972798171989,False
39,Agent 4,7.309972798171989,False
39,Agent 5,6.309972798171989,True
40,Agent 1,9.911283314554266,False
40,Agent 2,8.911283314554266,False
40,Agent 3,7.911283314554266,False
40,Agent 4,6.911283314554266,False
40,Agent 5,5.911283314554266,True
41,Agent 1,8.799303051794729,False
41,Agent 2,7.799303051794729,False
41,Agent 3,6.799303051794729,False
41,Agent 4,5.799303051794729,False
41,Agent 5,4.799303051794729,True
42,Agent 1,9.129699897796108,False
42,Agent 2,8.129699897796108,False
42,Agent 3,7.129699897796108,False
42,Agent 4,6.129699897796108,False
42,Agent 5,5.129699897796108,True
43,Agent 1,8.01240933545438,False
43,Agent 2,7.012409335454381,False
43,Agent 3,6.012409335454381,False
43,Agent 4,5.012409335454381,False
43,Agent 5,4.012409335454381,True
44,Agent 1,7.026226771057512,False
44,Agent 2,6.026226771057512,False
